Designator,Mid X,Mid Y,Layer,Rotation
C1,138.5500,-125.5500,Top,0.0000
C2,115.8500,-107.7500,Top,180.0000
C3,180.7500,-104.7000,Top,90.0000
C4,168.9000,-111.9000,Top,180.0000
C5,168.9000,-113.6000,Top,180.0000
C6,177.8500,-116.9500,Top,-90.0000
C7,182.2500,-104.7000,Top,90.0000
C8,179.3500,-116.9500,Top,-90.0000
C9,176.7500,-103.9000,Top,90.0000
C10,175.7500,-116.9500,Top,-90.0000
C11,178.2500,-103.9000,Top,90.0000
C12,174.2500,-116.9500,Top,-90.0000
C13,192.0000,-119.2500,Top,90.0000
C14,196.0500,-114.8500,Top,90.0000
C15,190.5000,-119.2500,Top,90.0000
C16,164.4500,-119.4000,Top,180.0000
C17,163.5000,-126.0000,Top,-90.0000
C18,182.5500,-126.0000,Top,90.0000
C19,192.1500,-107.6000,Top,90.0000
C20,186.5000,-114.3000,Top,90.0000
C21,196.0500,-117.8500,Top,-90.0000
C22,186.5000,-117.3000,Top,-90.0000
C23,158.1500,-120.6500,Top,0.0000
C24,162.5500,-114.0500,Top,90.0000
C25,155.1000,-130.6500,Top,0.0000
C26,155.1000,-124.7500,Top,0.0000
C27,127.1000,-120.3500,Top,90.0000
C30,143.1000,-104.2000,Top,0.0000
C33,150.5500,-97.3000,Top,0.0000
C34,147.3000,-97.0500,Top,180.0000
C35,143.2000,-111.9500,Top,180.0000
C37,196.0500,-111.8500,Top,90.0000
J3,116.5000,-93.5000,Top,180.0000
L1,159.0000,-113.5000,Top,0.0000
R1,169.7500,-106.5500,Top,0.0000
R2,169.7500,-105.0500,Top,0.0000
R3,145.7500,-123.2500,Top,90.0000
R4,124.6500,-108.5000,Top,-90.0000
R5,115.8500,-109.2500,Top,180.0000
R6,110.7000,-109.4500,Top,0.0000
R7,126.1500,-108.5000,Top,90.0000
R8,110.7000,-107.7500,Top,180.0000
R9,120.6500,-107.7500,Top,0.0000
R13,193.5000,-119.2500,Top,90.0000
R14,136.5000,-116.9000,Top,90.0000
R15,189.0000,-119.2500,Top,90.0000
R16,145.5000,-114.2000,Top,-90.0000
R17,155.6500,-120.1000,Top,90.0000
R18,155.1000,-132.4000,Top,0.0000
R19,160.8500,-117.3000,Top,-90.0000
R20,160.8500,-120.3000,Top,-90.0000
R21,169.0000,-98.5000,Top,-90.0000
R22,143.1000,-102.7000,Top,0.0000
R23,152.8500,-102.3000,Top,-90.0000
R24,170.5000,-98.5000,Top,-90.0000
R25,172.0000,-98.5000,Top,-90.0000
R26,142.3500,-99.3000,Top,-90.0000
R27,173.5000,-98.5000,Top,-90.0000
R28,154.4000,-102.3000,Top,90.0000
R29,150.5500,-95.7500,Top,180.0000
R30,143.8500,-99.3000,Top,-90.0000
R31,175.0000,-98.5000,Top,-90.0000
R32,152.8500,-99.2875,Top,90.0000
R33,176.5000,-98.5000,Top,-90.0000
R34,187.0000,-98.5000,Top,-90.0000
R35,178.0000,-98.5000,Top,-90.0000
R36,154.4000,-97.0000,Top,90.0000
R37,188.5000,-98.5000,Top,-90.0000
R38,179.5000,-98.5000,Top,-90.0000
R39,181.0000,-98.5000,Top,-90.0000
R40,182.5000,-98.5000,Top,-90.0000
R41,184.0000,-98.5000,Top,-90.0000
R42,185.5000,-98.5000,Top,-90.0000
RN1,163.3000,-104.8500,Top,180.0000
RN2,160.1500,-104.8500,Top,180.0000
RN3,156.7500,-104.8500,Top,180.0000
RN4,163.3000,-101.1000,Top,180.0000
RN5,160.1500,-101.1000,Top,180.0000
RN6,156.7500,-101.1000,Top,180.0000
RN7,163.3000,-97.3500,Top,180.0000
RN8,160.1500,-97.3500,Top,180.0000
RN9,156.7500,-97.3500,Top,180.0000
U1,175.6500,-110.6000,Top,-90.0000
U2,141.0000,-121.9400,Top,180.0000
U3,177.5000,-123.8500,Top,-90.0000
U4,123.5000,-118.0000,Top,-90.0000
U5,168.5000,-123.8500,Top,90.0000
U6,191.2500,-114.5000,Top,180.0000
U7,141.0000,-115.4500,Top,0.0000
U9,158.2500,-117.7500,Top,-90.0000
U10,155.1000,-127.7000,Top,90.0000
U11,148.3500,-100.8000,Top,180.0000
X1,188.5000,-106.9800,Top,180.0000
